N,K,Initilization,Iteration,Repetitions
293656,2,0.7259976863861084,0.004000425338745117,256
293656,2,0.714000940322876,0.0029990673065185547,256
293656,2,0.7029995918273926,0.004000425338745117,256
293656,2,0.7179996967315674,0.0029981136322021484,256
293656,2,0.7179996967315674,0.0030007362365722656,256
293656,2,0.7170000076293945,0.0030007362365722656,256
293656,2,0.6990015506744385,0.003998994827270508,256
293656,2,0.6869978904724121,0.0030028820037841797,256
293656,2,0.7110018730163574,0.003997802734375,256
293656,2,0.708998441696167,0.003000974655151367,256
Means, ,0.7101997375488281,0.0034000158309936525,256.0
Stds, ,0.010721942259418955,0.0004894068651212667,0.0
Stabilished, ,0.015097080007977041,0.1439425254023708, 
 , , , , 
N,K,Initilization,Iteration,Repetitions
293656,3,0.7060003280639648,0.5269989967346191,32640
293656,3,0.7169990539550781,0.537999153137207,32640
293656,3,0.7260019779205322,0.5380008220672607,32640
293656,3,0.7109963893890381,0.537003755569458,32640
293656,3,0.7099981307983398,0.5290012359619141,32640
293656,3,0.7149991989135742,0.5349981784820557,32640
293656,3,0.7160029411315918,0.543999195098877,32640
293656,3,0.7219996452331543,0.5380001068115234,32640
293656,3,0.7259993553161621,0.5440022945404053,32640
293656,3,0.7389988899230957,0.5409986972808838,32640
Means, ,0.7187995910644531,0.5371002435684205,32640.0
Stds, ,0.009217624208855012,0.005337768395671435,0.0
Stabilished, ,0.012823635855447348,0.009938123208077571, 
 , , , , 
N,K,Initilization,Iteration,Repetitions
293656,4,0.7049977779388428,51.52900052070618,2763520
293656,4,0.7100005149841309,51.98199963569641,2763520
293656,4,0.7510037422180176,51.738993883132935,2763520
293656,4,0.725003719329834,51.72500038146973,2763520
293656,4,0.7089991569519043,51.289000511169434,2763520
293656,4,0.7180006504058838,50.67700242996216,2763520
293656,4,0.7149934768676758,50.709004163742065,2763520
293656,4,0.7169983386993408,51.58399748802185,2763520
293656,4,0.8439996242523193,53.6910035610199,2763520
293656,4,0.7249994277954102,51.53999924659729,2763520
Means, ,0.731899642944336,51.6465001821518,2763520.0
Stds, ,0.0393132329731169,0.7926510715832433,0.0
Stabilished, ,0.0537139665965199,0.015347624113689137, 
 , , , , 
N,K,Initilization,Iteration,Repetitions
293656,5,0.5649943351745605,3603.3400032520294,174792640
293656,5,0.7370011806488037,3527.2629992961884,174792640
293656,5,0.7329976558685303,3474.324505329132,174792640
293656,5,0.6919984817504883,3531.319999694824,174792640
293656,5,0.7340033054351807,3278.242995738983,174792640
293656,5,0.7300045490264893,2536.8585493564606,174792640
293656,5,0.47899961471557617,2375.635134458542,174792640
293656,5,0.5270006656646729,2452.7790455818176,174792640
293656,5,0.6209988594055176,2109.599751472473,174792640
293656,5,0.33103513717651367,1820.1656274795532,174792640
Means, ,0.6149033784866333,2870.9528611660003,174792640.0
Stds, ,0.1309720674397034,644.111919109369,0.0
Stabilished, ,0.21299617471942456,0.22435475267530908, 
 , , , , 
